Number,Name,Type 1,Type 2,Abilities,HP,Att,Def,Spa,Spd,Spe,BST,Mean,Standard Deviation,Generation,Experience type,Experience to level 100,Final Evolution,Catch Rate,Legendary,Mega Evolution,Alolan Form,Galarian Form,Against Normal,Against Fire,Against Water,Against Electric,Against Grass,Against Ice,Against Fighting,Against Poison,Against Ground,Against Flying,Against Psychic,Against Bug,Against Rock,Against Ghost,Against Dragon,Against Dark,Against Steel,Against Fairy,Height,Weight,BMI
150,Mega Mewtwo Y,Psychic,,['Insomnia'],106,150,70,194,120,140,780,130.0,38.453435043785966,6.0,Slow,1250000,1.0,3,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.5,33.0,14.7
150,Mega Mewtwo X,Psychic,Fighting,['Steadfast'],106,190,100,154,100,130,780,130.0,33.04542328371661,6.0,Slow,1250000,1.0,3,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,2.3,127.0,24.0
151,Mew,Psychic,,['Synchronize'],100,100,100,100,100,100,600,100.0,0.0,1.0,Medium Slow,1059860,1.0,45,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.4,4.0,25.0
152,Chikorita,Grass,,"['Leaf Guard', 'Overgrow']",45,49,65,49,65,45,318,53.0,8.640987597877146,2.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,6.4,7.9
153,Bayleef,Grass,,"['Leaf Guard', 'Overgrow']",60,62,80,63,80,60,405,67.5,8.902246907382429,2.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,15.8,11.0
154,Meganium,Grass,,"['Leaf Guard', 'Overgrow']",80,82,100,83,100,80,525,87.5,8.902246907382429,2.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,100.5,31.0
155,Cyndaquil,Fire,,"['Blaze', 'Flash Fire']",39,52,43,60,50,65,309,51.5,8.995369179009089,2.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0.5,7.9,31.6
156,Quilava,Fire,,"['Blaze', 'Flash Fire']",58,64,58,80,65,80,405,67.5,9.233092656309694,2.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0.9,19.0,23.5
157,Typhlosion,Fire,,"['Blaze', 'Flash Fire']",78,84,78,109,85,100,534,89.0,11.575836902790224,2.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,1.7,79.5,27.5
158,Totodile,Water,,"['Sheer Force', 'Torrent']",50,65,64,44,48,43,314,52.333333333333336,8.919392106839767,2.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6,9.5,26.4
159,Croconaw,Water,,"['Sheer Force', 'Torrent']",65,80,80,59,63,58,405,67.5,9.142392101268316,2.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.1,25.0,20.7
160,Feraligatr,Water,,"['Sheer Force', 'Torrent']",85,105,100,79,83,78,530,88.33333333333333,10.386957633921922,2.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.3,88.8,16.8
161,Sentret,Normal,,"['Frisk', 'Keen Eye', 'Run Away']",35,46,34,35,45,20,215,35.833333333333336,8.591015979239915,2.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8,6.0,9.4
162,Furret,Normal,,"['Frisk', 'Keen Eye', 'Run Away']",85,76,64,45,55,90,415,69.16666666666667,16.035550782211658,2.0,Medium Fast,1000000,1.0,90,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.8,32.5,10.0
163,Hoothoot,Normal,Flying,"['Insomnia', 'Keen Eye', 'Tinted Lens']",60,30,30,36,56,50,262,43.66666666666666,12.188336865854811,2.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0.7,21.2,43.3
164,Noctowl,Normal,Flying,"['Insomnia', 'Keen Eye', 'Tinted Lens']",100,50,50,86,96,70,452,75.33333333333333,20.253943374617748,2.0,Medium Fast,1000000,1.0,90,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1.6,40.8,15.9
165,Ledyba,Bug,Flying,"['Early Bird', 'Rattled', 'Swarm']",40,20,30,40,80,55,265,44.16666666666666,19.238993967692,2.0,Fast,800000,0.0,255,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,10.8,10.8
166,Ledian,Bug,Flying,"['Early Bird', 'Iron Fist', 'Swarm']",55,35,50,55,110,85,390,65.0,25.0,2.0,Fast,800000,1.0,90,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.4,35.6,18.2
167,Spinarak,Bug,Poison,"['Insomnia', 'Sniper', 'Swarm']",40,60,40,40,40,30,250,41.66666666666666,8.975274678557506,2.0,Fast,800000,0.0,255,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0.5,8.5,34.0
168,Ariados,Bug,Poison,"['Insomnia', 'Sniper', 'Swarm']",70,90,70,60,70,40,400,66.66666666666667,14.907119849998598,2.0,Fast,800000,1.0,90,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.1,33.5,27.7
169,Crobat,Poison,Flying,"['Infiltrator', 'Inner Focus']",85,90,80,70,80,130,535,89.16666666666667,19.238993967692,2.0,Medium Fast,1000000,1.0,90,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,1.8,75.0,23.1
170,Chinchou,Water,Electric,"['Illuminate', 'Volt Absorb', 'Water Absorb']",75,38,38,56,56,67,330,55.0,13.686976778431871,2.0,Slow,1250000,0.0,190,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.5,12.0,48.0
171,Lanturn,Water,Electric,"['Illuminate', 'Volt Absorb', 'Water Absorb']",125,58,58,76,76,67,460,76.66666666666667,22.830291768223688,2.0,Slow,1250000,1.0,75,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.2,22.5,15.6
172,Pichu,Electric,,"['Lightning Rod', 'Static']",20,40,15,35,35,60,205,34.166666666666664,14.55354099714415,2.0,Medium Fast,1000000,0.0,190,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3,2.0,22.2
173,Cleffa,Fairy,,"['Cute Charm', 'Friend Guard', 'Magic Guard']",50,25,28,45,55,15,218,36.333333333333336,14.510532573119276,2.0,Fast,800000,0.0,150,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0.3,3.0,33.3
174,Igglybuff,Normal,Fairy,"['Competitive', 'Cute Charm', 'Friend Guard']",90,30,15,40,20,15,210,35.0,26.140645235596867,2.0,Fast,800000,0.0,170,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,0.3,1.0,11.1
175,Togepi,Fairy,,"['Hustle', 'Serene Grace', 'Super Luck']",35,20,65,40,65,20,245,40.833333333333336,18.57791400800663,2.0,Fast,800000,0.0,190,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0.3,1.5,16.7
176,Togetic,Fairy,Flying,"['Hustle', 'Serene Grace', 'Super Luck']",55,40,85,80,105,40,405,67.5,24.28133714055577,2.0,Fast,800000,0.0,75,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,2.0,0.0,1.0,1.0,0.25,2.0,1.0,0.0,0.5,2.0,1.0,0.6,3.2,8.9
177,Natu,Psychic,Flying,"['Early Bird', 'Magic Bounce', 'Synchronize']",40,50,45,70,45,70,320,53.333333333333336,12.133516482134198,2.0,Medium Fast,1000000,0.0,190,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.2,2.0,50.0
178,Xatu,Psychic,Flying,"['Early Bird', 'Magic Bounce', 'Synchronize']",65,75,70,95,70,95,470,78.33333333333333,12.133516482134198,2.0,Medium Fast,1000000,1.0,75,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.5,15.0,6.7
179,Mareep,Electric,,"['Plus', 'Static']",55,40,40,65,45,35,280,46.66666666666666,10.274023338281628,2.0,Medium Slow,1059860,0.0,235,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6,7.8,21.7
180,Flaaffy,Electric,,"['Plus', 'Static']",70,55,55,80,60,45,365,60.833333333333336,11.334558757279536,2.0,Medium Slow,1059860,0.0,120,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.8,13.3,20.8
181,Ampharos,Electric,,"['Plus', 'Static']",90,75,85,115,90,55,510,85.0,18.027756377319943,2.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.4,61.5,31.4
181,Mega Ampharos,Electric,Dragon,['Mold Breaker'],90,95,105,165,110,45,610,101.66666666666669,35.31603350069515,6.0,Medium Slow,1059860,1.0,45,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.25,0.5,2.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0,1.4,61.5,31.4
182,Bellossom,Grass,,"['Chlorophyll', 'Healer']",75,80,95,90,100,50,490,81.66666666666667,16.499158227686106,2.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,5.8,36.3
183,Marill,Water,Fairy,"['Huge Power', 'Sap Sipper', 'Thick Fat']",70,20,50,20,50,40,250,41.66666666666666,17.716909687891082,2.0,Fast,800000,0.0,190,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0.4,8.5,53.1
184,Azumarill,Water,Fairy,"['Huge Power', 'Sap Sipper', 'Thick Fat']",100,50,80,60,80,50,420,70.0,18.257418583505537,2.0,Fast,800000,1.0,75,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0.8,28.5,44.5
185,Sudowoodo,Rock,,"['Rattled', 'Rock Head', 'Sturdy']",70,100,115,30,65,30,410,68.33333333333333,31.97221015541813,2.0,Medium Fast,1000000,1.0,65,0.0,0.0,0.0,0.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.2,38.0,26.4
186,Politoed,Water,,"['Damp', 'Drizzle', 'Water Absorb']",90,75,75,90,100,70,500,83.33333333333333,10.671873729054749,2.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.1,33.9,28.0
187,Hoppip,Grass,Flying,"['Chlorophyll', 'Infiltrator', 'Leaf Guard']",35,35,40,35,55,50,250,41.66666666666666,7.993052538854533,2.0,Medium Slow,1059860,0.0,255,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5,3.1
188,Skiploom,Grass,Flying,"['Chlorophyll', 'Infiltrator', 'Leaf Guard']",55,45,50,45,65,80,340,56.66666666666666,12.47219128924647,2.0,Medium Slow,1059860,0.0,120,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,2.8
189,Jumpluff,Grass,Flying,"['Chlorophyll', 'Infiltrator', 'Leaf Guard']",75,55,70,55,95,110,460,76.66666666666667,20.13840995599095,2.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.8,3.0,4.7
190,Aipom,Normal,,"['Pickup', 'Run Away', 'Skill Link']",55,70,55,40,55,85,360,60.0,14.142135623730953,2.0,Fast,800000,0.0,45,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8,11.5,18.0
191,Sunkern,Grass,,"['Chlorophyll', 'Early Bird', 'Solar Power']",30,30,30,30,30,30,180,30.0,0.0,2.0,Medium Slow,1059860,0.0,235,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.8,20.0
192,Sunflora,Grass,,"['Chlorophyll', 'Early Bird', 'Solar Power']",75,75,55,105,85,30,425,70.83333333333333,23.52599035582184,2.0,Medium Slow,1059860,1.0,120,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,8.5,13.3
193,Yanma,Bug,Flying,"['Frisk', 'Speed Boost']",65,65,45,75,45,95,390,65.0,17.320508075688775,2.0,Medium Fast,1000000,0.0,75,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.2,38.0,26.4
194,Wooper,Water,Ground,"['Damp', 'Unaware', 'Water Absorb']",55,45,45,25,25,15,210,35.0,14.142135623730953,2.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.4,8.5,53.1
195,Quagsire,Water,Ground,"['Damp', 'Unaware', 'Water Absorb']",95,85,85,65,65,35,430,71.66666666666667,19.72026594366539,2.0,Medium Fast,1000000,1.0,90,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.4,75.0,38.3
196,Espeon,Psychic,,"['Magic Bounce', 'Synchronize']",65,65,60,130,95,110,525,87.5,26.25991876098121,2.0,Medium Fast,1000000,1.0,45,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.9,26.5,32.7
197,Umbreon,Dark,,"['Inner Focus', 'Synchronize']",95,65,110,60,130,65,525,87.5,26.25991876098121,2.0,Medium Fast,1000000,1.0,45,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,1.0,27.0,27.0
198,Murkrow,Dark,Flying,"['Insomnia', 'Prankster', 'Super Luck']",60,85,42,85,42,91,405,67.5,20.5,2.0,Medium Slow,1059860,0.0,30,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0,0.5,2.1,8.4
199,Slowking,Water,Psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",95,75,80,100,110,30,490,81.66666666666667,25.92724864350674,2.0,Medium Fast,1000000,1.0,70,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,2.0,79.5,19.9
199,Galarian Slowking,Poison,Psychic,"['Curious Medicine', 'Own Tempo', 'Regenerator']",95,65,80,110,110,30,490,81.66666666666667,28.08716591058786,8.0,Medium Fast,1000000,1.0,70,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.25,0.5,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.8,79.5,24.5
200,Misdreavus,Ghost,,['Levitate'],60,60,60,85,85,85,435,72.5,12.5,2.0,Fast,800000,0.0,45,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0,0.7,1.0,2.0
201,Unown,Psychic,,['Levitate'],48,72,48,72,48,48,336,56.0,11.31370849898476,2.0,Medium Fast,1000000,1.0,225,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,5.0,20.0
202,Wobbuffet,Psychic,,"['Shadow Tag', 'Telepathy']",190,33,58,33,58,33,405,67.5,55.9128786595718,2.0,Medium Fast,1000000,1.0,45,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.3,28.5,16.9
203,Girafarig,Normal,Psychic,"['Early Bird', 'Inner Focus', 'Sap Sipper']",70,80,65,90,65,85,455,75.83333333333333,9.753916592266354,2.0,Medium Fast,1000000,1.0,60,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.5,41.5,18.4
204,Pineco,Bug,,"['Overcoat', 'Sturdy']",50,65,90,35,35,15,290,48.333333333333336,24.09472049133493,2.0,Medium Fast,1000000,0.0,190,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.6,7.2,20.0
205,Forretress,Bug,Steel,"['Overcoat', 'Sturdy']",75,90,140,60,60,40,465,77.5,31.85252475602732,2.0,Medium Fast,1000000,1.0,75,0.0,0.0,0.0,0.0,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.2,125.8,87.4
206,Dunsparce,Normal,,"['Rattled', 'Run Away', 'Serene Grace']",100,70,70,65,65,45,415,69.16666666666667,16.18040653245633,2.0,Medium Fast,1000000,1.0,190,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.5,14.0,6.2
207,Gligar,Ground,Flying,"['Hyper Cutter', 'Immunity', 'Sand Veil']",65,75,105,35,65,85,430,71.66666666666667,21.34374745810949,2.0,Medium Slow,1059860,0.0,60,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,4.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.1,64.8,53.6
208,Steelix,Steel,Ground,"['Rock Head', 'Sheer Force', 'Sturdy']",75,85,200,55,65,30,510,85.0,54.23713365090993,2.0,Medium Fast,1000000,1.0,25,0.0,0.0,0.0,0.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5,9.2,400.0,4.7
208,Mega Steelix,Steel,Ground,['Sand Force'],75,125,230,55,95,30,610,101.66666666666669,64.65721580423607,6.0,Medium Fast,1000000,1.0,25,0.0,1.0,0.0,0.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5,10.5,740.0,6.7
209,Snubbull,Fairy,,"['Intimidate', 'Rattled', 'Run Away']",60,80,50,40,40,30,300,50.0,16.329931618554518,2.0,Fast,800000,0.0,190,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0.6,7.8,21.7
210,Granbull,Fairy,,"['Intimidate', 'Quick Feet', 'Rattled']",90,120,75,60,60,45,450,75.0,24.49489742783178,2.0,Fast,800000,1.0,75,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,1.4,48.7,24.8
211,Qwilfish,Water,Poison,"['Intimidate', 'Poison Point', 'Swift Swim']",65,95,85,55,55,85,440,73.33333333333333,15.723301886761003,2.0,Medium Fast,1000000,1.0,45,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,3.9,15.6
212,Scizor,Bug,Steel,"['Light Metal', 'Swarm', 'Technician']",70,130,100,55,80,65,500,83.33333333333333,25.110865288865604,2.0,Medium Fast,1000000,1.0,25,0.0,0.0,0.0,0.0,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.8,118.0,36.4
212,Mega Scizor,Bug,Steel,['Technician'],70,150,140,65,100,75,600,100.0,33.78855822118882,6.0,Medium Fast,1000000,1.0,25,0.0,1.0,0.0,0.0,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,2.0,125.0,31.3
213,Shuckle,Bug,Rock,"['Contrary', 'Gluttony', 'Sturdy']",20,10,230,10,230,5,505,84.16666666666667,103.21565880341132,2.0,Medium Slow,1059860,1.0,190,0.0,0.0,0.0,0.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.6,20.5,56.9
214,Heracross,Bug,Fighting,"['Guts', 'Moxie', 'Swarm']",80,125,75,40,95,85,500,83.33333333333333,25.27625148017184,2.0,Slow,1250000,1.0,45,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.5,54.0,24.0
214,Mega Heracross,Bug,Fighting,['Skill Link'],80,185,115,40,105,75,600,100.0,44.90731195102493,6.0,Slow,1250000,1.0,45,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.7,62.5,21.6
215,Sneasel,Dark,Ice,"['Inner Focus', 'Keen Eye', 'Pickpocket']",55,95,55,35,75,115,430,71.66666666666667,26.874192494328497,2.0,Medium Slow,1059860,0.0,60,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.5,1.0,0.5,2.0,2.0,0.9,28.0,34.6
216,Teddiursa,Normal,,"['Honey Gather', 'Pickup', 'Quick Feet']",60,80,50,50,50,40,330,55.0,12.583057392117915,2.0,Medium Fast,1000000,0.0,120,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6,8.8,24.4
217,Ursaring,Normal,,"['Guts', 'Quick Feet', 'Unnerve']",90,130,75,75,75,55,500,83.33333333333333,23.21398046197353,2.0,Medium Fast,1000000,1.0,60,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.8,125.8,38.8
